MS10S3001,M122,FEG154-47
MS10S3002,FEG141-20,FEG153-25
MS10S3003,FEG141-20,FEG154-47
MS10S3004,FEG153-25,FEG175-57
MS10S3005,FEG153-25,FEG183-52
MS10S3007,FEG153-58,FEG183-52
MS10S3008,FEG154-47,FEG175-57
MS10S3009,FEG154-47,FEG183-52
MS10S3012,FEG183-52,FEG141-20
MS10S3013,M122,FEG183-52
MS10S3014,M122,ND25728
MS10S3015,FEG141-20,ND24906
MS10S3016,FEG153-25,ND25728
MS10S3017,FEG153-58,ND25160
MS10S3018,FEG175-57,ND25986
MS10S3019,FEG175-57,ND26104
MS10S3021,ND24906,FEG183-52
MS10S3022,ND25160,FEG154-47
MS10S3024,ND26036,FEG154-47
MS10S3025,ND26104,M122
MS10S3026,FEG153-25,6B04-0290
MS10S3027,FEG153-58,6B05-0922
MS10S3029,FEG183-52,6B01-2218
MS10S3030,6B01-2218,FEG153-58
MS10S3031,6B03-4304,FEG153-25
MS10S3032,6B03-4304,FEG175-57
MS10S3033,6B03-4478,FEG141-20
MS10S3034,6B03-4478,FEG175-57
MS10S3035,6B06-1132,FEG183-52
MS10S3036,M122,6B03-4304
MS10S3037,ND20448,ND25160
MS10S3038,ND20448,ND25986
MS10S3039,ND24906,ND20448
MS10S3040,ND24906,ND25652
MS10S3041,ND25160,ND24906
MS10S3042,ND25652,ND25160
MS10S3043,ND25652,ND25986
MS10S3044,ND25986,ND26104
MS10S3045,ND26036,ND24906
MS10S3046,ND26104,ND24906
MS10S3047,ND24906,6B04-0290
MS10S3048,ND24906,6B03-4304
MS10S3049,ND25728,6B01-2218
MS10S3050,ND26036,6B05-0922
MS10S3051,ND26104,6B03-4304
MS10S3052,ND26104,6B04-0290
MS10S3053,6B03-4478,ND25986
MS10S3054,6B04-0290,ND25652
MS10S3055,6B04-0290,ND26036
MS10S3056,6B05-0922,ND25728
MS10S3057,6B01-2218,6B03-4478
MS10S3058,6B01-2218,6B04-0290
MS10S3059,6B01-2218,6B06-1132
MS10S3060,6B03-4304,6B04-0290
MS10S3061,6B03-4478,6B03-4304
MS10S3062,6B03-4478,6B04-0290
MS10S3063,6B03-4478,6B05-0922
MS10S3065,6B05-0922,6B03-4304
MS10S3066,6B05-0922,6B04-0290
MS10S3067,6B06-1132,6B03-4304
MS10S3070,FEG175-57,Rasmusson
MS10S3071,M142,FEG183-52
MS10S3072,FEG175-59,FEG182-60
MS10S3075,FEG181-42,Lacey
MS10S3076,FEG183-28,FEG211-38
MS10S3077,M145,M05-08
MS10S3079,FEG192-15,FEG183-52
MS10S3082,FEG200-39,FEG175-57
MS10S3085,FEG204-46,FEG201-22
MS10S3087,FEG208-12,FEG200-07
MS10S3088,FEG208-12,FEG200-39
MS10S3089,FEG209-16,FEG141-20
MS10S3090,FEG209-16,FEG154-47
MS10S3092,FEG212-09,FEG195-33
MS10S3094,FEG213-03,FEG175-57
MS10S3096,FEG213-16,FEG175-57
MS10S3097,FEG213-39,FEG154-47
MS10S3098,FEG214-22,FEG153-25
MS10S3099,FEG214-32,FEG141-20
MS10S3100,FEG232-21,M122
MS11S2003,MS10S3004-014,MS10S3013-004
MS11S2004,MS10S3007-003,MS10S3004-004
MS11S2005,MS10S3008-003,MS10S3058-024
MS11S2006,MS10S3008-004,MS10S3015-005
MS11S2007,MS10S3008-005,MS10S3014-002
MS11S2011,MS10S3013-013,MS10S3008-004
MS11S2013,MS10S3013-013,MS10S3004-004
MS11S2014,MS10S3013-016,MS10S3018-006
MS11S2015,MS10S3013-023,MS10S3008-003
MS11S2016,MS10S3014-007,MS10S3037-010
MS11S2020,MS10S3014-016,MS10S3041-010
MS11S2021,MS10S3014-020,MS10S3040-004
MS11S2022,MS10S3015-002,MS10S3014-008
MS11S2024,MS10S3016-010,MS10S3019-015
MS11S2025,MS10S3016-010,MS10S3036-002
MS11S2026,MS10S3018-001,MS10S3021-013
MS11S2027,MS10S3018-002,MS10S3014-013
MS11S2028,MS10S3018-006,MS10S3015-004
MS11S2029,MS10S3018-006,MS10S3055-014
MS11S2030,MS10S3018-015,MS10S3049-009
MS11S2031,MS10S3018-015,MS10S3013-016
MS11S2033,MS10S3021-009,MS10S3014-008
MS11S2034,MS10S3021-009,MS10S3055-013
MS11S2036,MS10S3021-012,MS10S3063-013
MS11S2037,MS10S3021-013,MS10S3055-013
MS11S2038,MS10S3021-013,MS10S3058-024
MS11S2039,MS10S3024-003,MS10S3007-003
MS11S2040,MS10S3024-005,MS10S3041-010
MS11S2041,MS10S3024-005,MS10S3013-016
MS11S2042,MS10S3024-007,MS10S3021-009
MS11S2046,MS10S3031-013,MS10S3014-013
MS11S2048,MS10S3032-004,MS10S3014-021
MS11S2052,MS10S3032-016,MS10S3019-015
MS11S2053,MS10S3032-016,MS10S3004-004
MS11S2055,MS10S3034-014,MS10S3013-004
MS11S2056,MS10S3034-016,MS10S3001-019
MS11S2057,MS10S3034-018,MS10S3045-010
MS11S2058,MS10S3034-018,MS10S3029-013
MS11S2059,MS10S3034-019,MS10S3031-013
MS11S2063,MS10S3037-010,MS10S3014-007
MS11S2064,MS10S3037-010,MS10S3045-010
MS11S2065,MS10S3040-004,MS10S3001-019
MS11S2066,MS10S3041-010,MS10S3013-006
MS11S2067,MS10S3041-010,MS10S3012-012
MS11S2068,MS10S3045-010,MS10S3056-008
MS11S2069,MS10S3046-019,MS10S3055-008
MS11S2070,MS10S3048-002,MS10S3055-008
MS11S2072,MS10S3049-003,MS10S3015-002
MS11S2073,MS10S3049-009,MS10S3048-002
MS11S2075,MS10S3050-024,MS10S3049-003
MS11S2076,MS10S3053-015,MS10S3019-015
MS11S2077,MS10S3053-015,MS10S3040-004
MS11S2078,MS10S3053-016,MS10S3050-024
MS11S2079,MS10S3055-006,MS10S3012-012
MS11S2080,MS10S3055-006,MS10S3018-006
MS11S2082,MS10S3055-010,MS10S3032-010
MS11S2087,MS10S3056-020,MS10S3048-002
MS11S2090,MS10S3063-013,MS10S3014-016
MS11S2091,MS10S3063-013,MS10S3036-002
MS11S2092,MS10S3063-013,MS10S3008-003
MS11S2097,MS10S3085-020,MS10S3008-004
MS11S2101,MS10S3096-007,MS10S3094-009
MS11S2103,MS10S3096-008,MS10S3097-011
MS11S2106,MS10S3096-017,MS10S3013-013
MS11S2107,MS10S3096-017,MS10S3097-024
MS11S2108,MS10S3097-009,MS10S3013-006
MS11S2113,MS10S3097-012,MS10S3012-012
MS11S2115,MS10S3097-019,MS10S3072-001
MS11S2118,MS10S3097-024,MS10S3013-016
MS11S2119,MS10S3099-019,MS10S3001-019
MS11S2126,MS10S3100-012,MS10S3099-019
MS11S2130,MS10S3100-022,MS10S3094-009
MS11S2131,MS10S3096-016,MS10S3053-015
MS11S2132,MS10S3097-012,MS10S3024-003
MS11S2133,MS10S3024-003,MS10S3085-020
MS11S2134,MS10S3019-020,MS10S3089-011
MS11S2137,MS10S3051-014,MS10S3070-014
MS11S2140,MS10S3052-001,MS10S3036-015
MS11S2146,MS10S3077-024,MS10S3089-011
MS11S2148,MS10S3099-023,MS10S3065-004
MS12_2103,MS11S2007-012,MS11S2080-010
MS12_2104,MS11S2007-012,MS11S2021-024
MS12_2105,MS11S2007-023,MS11S2064-004
MS12_2107,MS11S2016-001,MS11S2064-005
MS12_2108,MS11S2016-014,MS11S2024-019
MS12_2111,MS11S2016-021,MS11S2075-014
MS12_2112,MS11S2016-021,MS11S2080-015
MS12_2113,MS11S2020-020,MS11S2058-022
MS12_2115,MS11S2021-003,MS11S2053-015
MS12_2117,MS11S2024-006,MS11S2029-014
MS12_2119,MS11S2024-015,MS11S2077-003
MS12_2121,MS11S2024-023,MS11S2080-007
MS12_2122,MS11S2024-024,MS11S2070-018
MS12_2123,MS11S2026-006,MS11S2075-019
MS12_2124,MS11S2026-019,MS11S2053-023
MS12_2125,MS11S2029-011,MS11S2052-012
MS12_2126,MS11S2029-012,MS11S2076-022
MS12_2128,MS11S2029-014,MS11S2082-001
MS12_2129,MS11S2029-018,MS11S2078-017
MS12_2131,MS11S2029-019,MS11S2014-023
MS12_2132,MS11S2029-019,MS11S2069-019
MS12_2134,MS11S2029-024,MS11S2028-017
MS12_2135,MS11S2033-024,MS11S2058-021
MS12_2136,MS11S2036-019,MS11S2024-022
MS12_2138,MS11S2040-020,MS11S2016-016
MS12_2139,MS11S2052-008,MS11S2091-015
MS12_2142,MS11S2052-019,MS11S2024-008
MS12_2143,MS11S2052-019,MS11S2007-023
MS12_2144,MS11S2052-024,MS11S2064-009
MS12_2145,MS11S2052-024,MS11S2079-018
MS12_2148,MS11S2058-004,MS11S2021-008
MS12_2149,MS11S2058-012,MS11S2016-021
MS12_2150,MS11S2058-014,MS11S2024-013
MS12_2151,MS11S2058-014,MS11S2080-019
MS12_2153,MS11S2064-005,MS11S2080-016
MS12_2154,MS11S2064-006,MS11S2029-017
MS12_2158,MS11S2070-017,MS11S2057-016
MS12_2159,MS11S2070-018,MS11S2040-020
MS12_2160,MS11S2075-015,MS11S2078-017
MS12_2162,MS11S2076-002,MS11S2025-021
MS12_2163,MS11S2076-002,MS11S2090-023
MS12_2164,MS11S2076-021,MS11S2058-019
MS12_2167,MS11S2077-013,MS11S2090-020
MS12_2168,MS11S2078-001,MS11S2016-001
MS12_2165,MS11S2077-003,MS11S2036-019
MS12_2170,MS11S2079-018,MS11S2064-016
MS12_2171,MS11S2080-004,MS11S2063-020
MS12_2172,MS11S2080-006,MS11S2029-018
MS12_2173,MS11S2080-009,MS11S2052-010
MS12_2174,MS11S2080-009,MS11S2021-003
MS12_2175,MS11S2080-010,MS11S2026-020
MS12_2176,MS11S2080-012,MS11S2031-023
MS12_2177,MS11S2080-017,MS11S2077-003
MS12_2178,MS11S2080-017,MS11S2030-006
MS12_2179,MS11S2082-001,MS11S2058-021
MS12_2180,MS11S2082-014,MS11S2052-009
MS12_2181,MS11S2082-014,MS11S2007-008
MS12_2182,MS11S2090-011,MS11S2053-023
MS12_2183,MS11S2090-013,MS11S2021-008
MS12_2184,MS11S2091-015,MS11S2029-011
MS12_2184,MS11S2091-015,MS11S2029-011
